Region Name,region
Ang Mo Kio,ang-mo-kio
Bedok,bedok
Bishan,bishan
Bukit Batok,bukit-batok
Bukit Merah,bukit-merah
Bukit Panjang,bukit-panjang
Bukit Timah,bukit-timah
Central,central
Choa Chu Kang,choa-chu-kang
Clementi,clementi
Geylang,geylang
Hougang,hougang
Jurong East,jurong-east
Jurong West,jurong-west
Kallang,kallang
Marine Parade,marine-parade
Novena,novena
Pasir Ris,pasir-ris
Punggol,punggol
Queenstown,queenstown
Sembawang,sembawang
Sengkang,sengkang
Serangoon,serangoon
Tampines,tampines
Toa Payoh,toa-payoh
Woodlands,woodlands
Yishun,yishun
